Title,Location
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        
Apartment Frederiksplein 40 B,            1017 XN Amsterdam (De Weteringschans)        
Apartment Berthold Brechtstraat,"            1102 RV Amsterdam (Bijlmer Centrum (D,F,H))        "
Apartment Saenredamstraat,            1072 CA Amsterdam (Oude Pijp)        
Apartment Emmy Andriessestraat,            1087 NE Amsterdam (IJburg Zuid)        
Apartment Merlijnstraat,            1055 DC Amsterdam (Erasmuspark)        
Apartment Ceramplein,            1095 DE Amsterdam (Indische Buurt Oost)        
Apartment Pieter Calandlaan 674,            1060 TW Amsterdam (Middelveldsche Akerpolder)        
Apartment Solitudolaan 216,            1096 DS Amsterdam (Omval/Overamstel)        
Apartment Rustenburgerstraat 303 1,            1073 GE Amsterdam (Nieuwe Pijp)        
Apartment Lijnbaansgracht 320 hs,            1017 WZ Amsterdam (De Weteringschans)        
Apartment Egelantiersgracht 336,            1015 RR Amsterdam (Jordaan)        
Apartment Noorderdwarsstraat 10,            1017 TX Amsterdam (De Weteringschans)        
Apartment Kleiburg,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        "
Apartment Planciusstraat 19,            1013 MD Amsterdam (Haarlemmerbuurt)        
Apartment Luzacstraat,            1051 JB Amsterdam (Staatsliedenbuurt)        
Apartment Venetiëhof,            1019 NA Amsterdam (Oostelijk Havengebied)        
Apartment Arènpalmstraat,"            1104 DB Amsterdam (Bijlmer Oost (E,G,K))        "
Apartment Marnixstraat,            1015 VE Amsterdam (Jordaan)        
Apartment Boris Pasternakstraat 367,"            1102 TD Amsterdam (Bijlmer Centrum (D,F,H))        "
Apartment Sterkenburg,            1083 VH Amsterdam (Buitenveldert-Oost)        
Apartment Eerste Laurierdwarsstraat,            1016 PV Amsterdam (Jordaan)        
Apartment Singel 25,            1012 VC Amsterdam (Burgwallen-Nieuwe Zijde)        
Apartment Gietersstraat,            1015 HB Amsterdam (Jordaan)        
Apartment Jozef Israëlskade,            1072 RV Amsterdam (Nieuwe Pijp)        
Apartment Tweede Van der Helststraat,            1072 PD Amsterdam (Nieuwe Pijp)        
Apartment Elandsgracht,            1016 TX Amsterdam (Jordaan)        
Apartment Prinsengracht 1113 1,            1017 JJ Amsterdam (Grachtengordel-Zuid)        
Apartment Prinsengracht 625 2,            1016 HV Amsterdam (Grachtengordel-West)        
Apartment Gerard Doustraat,            1073 XB Amsterdam (Oude Pijp)        
Apartment Joris van Andringastraat,            1055 VZ Amsterdam (Landlust)        
Apartment Kolfschotenstraat,"            1104 PC Amsterdam (Bijlmer Oost (E,G,K))        "
